UPDATE SingleCodeCoupon;couponId[unique=true];name[lang=pt];startDate[dateformat=dd-MM-yyyy HH:mm:ss];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;maxTotalRedemptions;active[default=true]
;ANIVER122;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER123;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER124;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER125;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER126;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER127;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER128;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER129;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER130;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER131;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER132;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER133;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER134;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER135;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER136;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER137;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER138;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER139;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER140;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER141;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER142;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER143;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER144;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER145;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER146;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
